CUST_ID,REGISTRATION_ID,NAME,AGE,GENDER,MARITAL_STATUS,PROFESSION,EDUCATION,CUST_COUNTRY,CUST_STATE,CUST_CITY,CUST_ADDRESS1,CUST_ADDRESS2,CUST_POSTAL_ZONE,CUST_EMAIL,CUST_PHONE_NUMBER,CUST_FAX,INCOME,MEMBERS_IN_HOUSEHOLD,MONTHS_CUSTOMER
593,"CHRISREADY@EMAIL1.COM","",48,"F","M","Engineer","College","","","","","","","","","",76356,5,36
123,"JOHN.READY","",42,"M","M","Self Employed","College","","","","","","","","","",68880,5,24
252,"CRAIG.CORTEZ","",42,"F","M","Self Employed","Post College","","","","","","","","","",75812,5,0
363,"DUSTIN.HILLORY","",42,"M","M","Engineer","College","","","","","","","","","",38929,5,48
1107,"GEORGE.HOUSE@EMAIL3.COM","",51,"F","M","Self Employed","Post College","","","","","","","","","",66730,5,48
337,"JACOB.JACKSON","",52,"F","M","Doctor","Post College","","","","","","","","","",107318,5,36
227,"TREVOR.BODZ","",54,"F","M","Self Employed","Post College","","","","","","","","","",74302,5,24
1227,"ANASTASIA.WILSON@EMAIL3.COM","",54,"F","M","Engineer","Post College","","","","","","","","","",68829,5,24
842,"BILL.JACKSON@EMAIL1.COM","",55,"M","M","Scientist","College","","","","","","","","","",60768,5,48
832,"ADRIAN.BRINK@EMAIL2.COM","",58,"M","M","Private Sector","High School","","","","","","","","","",46628,5,36
907,"GREGORY.WEBB@EMAIL1.COM","",60,"F","M","Doctor","College","","","","","","","","","",55444,5,0
189,"GREG.KLOVES","",62,"F","M","Self Employed","College","","","","","","","","","",61419,5,0
205,"KEITH.BRINK","",47,"M","M","Not employed","Post College","","","","","","","","","",55771,5,36
822,"TREVOR.TOWB@EMAIL2.COM","",65,"M","M","Self Employed","High School","","","","","","","","","",52084,5,12
851,"BOB.CORTEZ@EMAIL3.COM","",65,"M","M","Doctor","College","","","","","","","","","",81723,5,48
846,"BILLY.CORTEZ@EMAIL2.COM","",75,"M","M","Financial analyst","College","","","","","","","","","",78984,5,24
599,"CRAIG.MONK@EMAIL2.COM","",43,"M","M","Engineer","College","","","","","","","","","",79128,6,24
1190,"ADRIAN.JACKSON@EMAIL3.COM","",43,"F","M","Financial analyst","Post College","","","","","","","","","",68548,6,48
262,"GREG.JACKSON","",44,"M","M","Not employed","College","","","","","","","","","",75735,6,0
617,"JACOB.PITT@EMAIL2.COM","",44,"F","M","Accountant","Post College","","","","","","","","","",69783,6,36
185,"GEORGE.TOWB","",45,"M","M","Not employed","College","","","","","","","","","",69264,6,48
1185,"STUART.DENNER@EMAIL3.COM","",45,"M","M","Accountant","College","","","","","","","","","",58745,6,48
823,"TREVOR.WEBB@EMAIL1.COM","",46,"F","M","Pharmacist","Post College","","","","","","","","","",63704,6,12
824,"TREVORBAUER@EMAIL1.COM","",46,"F","M","Accountant","College","","","","","","","","","",42438,6,12
7,"1378359","",39,"M","S","Pharmacist","Post College","","","","","","","","","",64542,1,36
422,"BOBHOUSE@EMAIL1.COM","",49,"M","M","Lawyer","Post College","","","","","","","","","",107132,5,36
107,"GREG.HOUSE","",51,"F","M","Financial analyst","Post College","","","","","","","","","",83056,5,48
758,"JACOB.BAUER@EMAIL2.COM","",48,"M","M","Scientist","College","","","","","","","","","",87187,6,12
833,"ADRIAN.HOUSE@EMAIL1.COM","",48,"M","M","Not employed","High School","","","","","","","","","",36538,6,24
834,"ADRIAN.HOUSE@EMAIL2.COM","",48,"M","M","Unemployed","High School","","","","","","","","","",44379,6,24
1095,"CHRIS.DENNER@EMAIL3.COM","",48,"F","M","Self Employed","College","","","","","","","","","",70841,6,24
452,"BILLYBODZ@EMAIL1.COM","",49,"F","M","Self Employed","High School","","","","","","","","","",37961,6,12
36,"BOB.BAUER","",50,"F","M","Engineer","College","","","","","","","","","",82103,6,36
698,"CHARLIEPITT@EMAIL1.COM","",50,"M","M","Engineer","Post College","","","","","","","","","",68376,6,48
699,"CHARLIETOWB@EMAIL1.COM","",50,"M","M","Accountant","College","","","","","","","","","",81362,6,48
893,"GREG.HOUSE@EMAIL3.COM","",50,"M","M","Professor","College","","","","","","","","","",70293,6,24
1036,"HELENA.WILSON@EMAIL1.COM","",50,"F","M","Financial analyst","College","","","","","","","","","",84844,6,36
862,"CHARLIE.MOSS@EMAIL2.COM","",51,"F","M","Financial analyst","College","","","","","","","","","",88121,6,12
644,"MARK.KODJO@EMAIL1.COM","",48,"M","M","Self Employed","College","","","","","","","","","",54665,6,36
33,"TOM.TOWB","",40,"F","M","Nursing","College","","","","","","","","","",62966,2,36
1033,"HARVEY.MILLER@EMAIL1.COM","",40,"F","M","Doctor","College","","","","","","","","","",57097,2,36
325,"GEORGE.CORTEZ","",40,"F","M","Not employed","College","","","","","","","","","",48301,2,12
9,"2228675","",41,"F","M","Professor","Post College","","","","","","","","","",91048,2,24
193,"HELENA.BIRD","",41,"F","M","Engineer","Post College","","","","","","","","","",54182,2,36
1009,"DUSTIN.POLO@EMAIL3.COM","",41,"F","M","Accountant","Post College","","","","","","","","","",80998,2,24
1193,"ANASTASIA.BIRD@EMAIL3.COM","",41,"F","M","Pharmacist","Post College","","","","","","","","","",52633,2,36
50,"GREG.WEBB","",41,"F","M","Not employed","College","","","","","","","","","",39151,2,48
95,"CHRIS.WEBB","",48,"F","M","Lawyer","College","","","","","","","","","",38036,6,24
1189,"WILLIAM.STILLER@EMAIL2.COM","",62,"F","M","Not employed","College","","","","","","","","","",80501,5,0
717,"DUSTIN.MOSS@EMAIL1.COM","",48,"F","M","Scientist","Post College","","","","","","","","","",63765,6,48
621,"JACOBHOUSE@EMAIL1.COM","",41,"F","M","Self Employed","High School","","","","","","","","","",38439,2,12
852,"BRED.HOFFMAN@EMAIL1.COM","",41,"F","M","Self Employed","Post College","","","","","","","","","",91238,2,36
853,"BRED.HOFFMAN@EMAIL2.COM","",41,"F","M","Lawyer","College","","","","","","","","","",58879,2,36
953,"MICHAEL.TOWB@EMAIL2.COM","",41,"M","M","Private Sector","High School","","","","","","","","","",23093,2,0
954,"MICHAEL.WEBB@EMAIL2.COM","",41,"M","M","Professor","College","","","","","","","","","",36630,2,0
986,"BILLY.BRINK@EMAIL3.COM","",41,"M","M","Engineer","College","","","","","","","","","",33597,2,24
1049,"KEITH.JACKSON@EMAIL1.COM","",41,"F","M","Self Employed","High School","","","","","","","","","",25407,2,48
1050,"KEITH.JACKSON@EMAIL2.COM","",41,"F","M","Financial analyst","College","","","","","","","","","",69350,2,48
58,"JOHN.WEBB","",42,"F","M","Engineer","College","","","","","","","","","",75544,2,24
1058,"MILA.ANDERSON@EMAIL2.COM","",42,"F","M","Professor","College","","","","","","","","","",59028,2,24
217,"ROSS.WILSON","",42,"F","M","Not employed","College","","","","","","","","","",66941,2,48
247,"CHARLIE.MOSS","",42,"F","M","Self Employed","Post College","","","","","","","","","",66845,2,12
312,"BILLY.JACKSON","",42,"F","M","Self Employed","College","","","","","","","","","",73193,2,48
336,"JACOB.HILLORY","",42,"F","M","Unemployed","High School","","","","","","","","","",29583,2,24
526,"OWEN.MONK@EMAIL1.COM","",43,"M","M","Private Sector","High School","","","","","","","","","",36958,2,48
652,"TERRI.PITT@EMAIL2.COM","",43,"M","M","Engineer","College","","","","","","","","","",64881,2,48
653,"TERRI.TOWB@EMAIL1.COM","",43,"M","M","Not employed","College","","","","","","","","","",58578,2,48
261,"GREG.HILLORY","",43,"F","M","Doctor","College","","","","","","","","","",80961,2,24
521,"KEITHPITT@EMAIL1.COM","",43,"F","M","Private Sector","High School","","","","","","","","","",45202,2,24
522,"KEITHTOWB@EMAIL1.COM","",43,"F","M","Lawyer","College","","","","","","","","","",41175,2,24
302,"TREVOR.BAUER","",41,"F","M","Scientist","College","","","","","","","","","",60179,2,36
418,"BOB.PITT@EMAIL1.COM","",41,"M","M","Engineer","Post College","","","","","","","","","",83199,2,36
445,"ALAN.POLO@EMAIL2.COM","",41,"F","M","Private Sector","High School","","","","","","","","","",25997,2,0
993,"CHARLIE.BAUER@EMAIL2.COM","",44,"F","M","Not employed","High School","","","","","","","","","",30359,3,48
105,"GREG.BAUER","",45,"F","M","Self Employed","College","","","","","","","","","",72464,3,48
106,"GREG.BRINK","",45,"F","M","Professor","College","","","","","","","","","",81641,3,48
931,"JOHN.HOUSE@EMAIL3.COM","",45,"M","M","Nursing","College","","","","","","","","","",56770,3,0
1105,"GEORGE.HILLORY@EMAIL1.COM","",45,"F","M","Nursing","College","","","","","","","","","",75164,3,48
1106,"GEORGE.HILLORY@EMAIL2.COM","",45,"F","M","Engineer","College","","","","","","","","","",71635,3,48
867,"CHARLIEHOUSE@EMAIL1.COM","",47,"F","M","Engineer","College","","","","","","","","","",82669,3,24
81,"BILLY.BIRD","",50,"M","M","Engineer","College","","","","","","","","","",67507,3,24
723,"GEORGE.MONK@EMAIL1.COM","",50,"F","M","Scientist","College","","","","","","","","","",77718,3,36
1081,"ALAN.ROBERTS@EMAIL3.COM","",50,"M","M","Self Employed","College","","","","","","","","","",86811,3,24
122,"JOHN.HOUSE","",51,"M","M","Self Employed","High School","","","","","","","","","",37304,3,0
326,"GEORGE.LARTER","",51,"F","M","Accountant","Post College","","","","","","","","","",65863,3,36
354,"WILLIAM.HOUSE","",51,"F","M","Lawyer","College","","","","","","","","","",72626,3,24
1122,"HELENA.JACKSON@EMAIL2.COM","",51,"M","M","Private Sector","High School","","","","","","","","","",46305,3,0
843,"BILLY.BIRD@EMAIL3.COM","",51,"F","M","Nursing","College","","","","","","","","","",90059,3,12
559,"BILLY.BODZ@EMAIL2.COM","",52,"F","M","Professor","College","","","","","","","","","",77774,3,48
637,"KEITH.TOWB@EMAIL2.COM","",52,"M","M","Lawyer","College","","","","","","","","","",80161,3,48
1000,"CHRIS.BAUER@EMAIL3.COM","",52,"F","M","Private Sector","High School","","","","","","","","","",46219,3,36
882,"CRAIG.TOWB@EMAIL3.COM","",52,"F","M","Not employed","College","","","","","","","","","",67641,3,24
282,"KEITH.MILLER","",53,"M","M","Nursing","Post College","","","","","","","","","",84781,3,0
767,"JOHN.CORTEZ@EMAIL2.COM","",43,"F","M","Self Employed","Post College","","","","","","","","","",73920,3,36
808,"STEVEN.POLO@EMAIL2.COM","",44,"M","M","Engineer","College","","","","","","","","","",55751,3,12
651,"ROSS.HOUSE@EMAIL1.COM","",44,"F","M","Nursing","Post College","","","","","","","","","",60903,3,48
8,"1908835","",55,"F","M","Engineer","College","","","","","","","","","",50137,3,12
187,"GREG.CORTEZ","",55,"M","M","Professor","College","","","","","","","","","",89065,3,36
1008,"DUSTIN.DENNER@EMAIL1.COM","",55,"F","M","Financial analyst","College","","","","","","","","","",47084,3,12
1187,"WILLIAM.HILLORY@EMAIL2.COM","",55,"M","M","Nursing","College","","","","","","","","","",57007,3,36
451,"BILLYBIRD@EMAIL1.COM","",55,"F","M","Pharmacist","Post College","","","","","","","","","",70715,3,24
924,"JASON.TOWB@EMAIL3.COM","",55,"M","M","Financial analyst","Post College","","","","","","","","","",84725,3,24
925,"JESSICA.ALBA@EMAIL2.COM","",55,"M","M","Scientist","Post College","","","","","","","","","",106419,3,24
399,"DANIEL.BARNFIELD","",55,"F","M","Professor","College","","","","","","","","","",49090,3,36
464,"BRED.ALBA@EMAIL1.COM","",56,"F","M","Self Employed","Post College","","","","","","","","","",86411,3,0
505,"JOHN.BODZ@EMAIL2.COM","",56,"M","M","Doctor","College","","","","","","","","","",70018,3,48
275,"JACOB.WILSON","",57,"F","M","Financial analyst","College","","","","","","","","","",56839,3,24
700,"CHARLIEWEBB@EMAIL1.COM","",57,"F","M","Engineer","College","","","","","","","","","",86073,3,24
987,"BILLY.HOUSE@EMAIL3.COM","",57,"F","M","Financial analyst","College","","","","","","","","","",65489,3,36
789,"OWEN.BODZ@EMAIL3.COM","",58,"F","M","Doctor","Post College","","","","","","","","","",99392,3,36
61,"MILA.MONK","",59,"F","M","Not employed","High School","","","","","","","","","",43092,3,0
636,"KEITH.PITT@EMAIL1.COM","",59,"M","M","Scientist","College","","","","","","","","","",86988,2,0
1061,"STEVEN.DENNER@EMAIL2.COM","",59,"F","M","Private Sector","High School","","","","","","","","","",42821,2,0
689,"BILLYCORTEZ@EMAIL1.COM","",60,"M","M","Professor","College","","","","","","","","","",91501,2,12
690,"BOB.HOUSE@EMAIL3.COM","",60,"M","M","Not employed","College","","","","","","","","","",62523,2,12
397,"ANASTASIA.MILLER","",61,"F","M","Self Employed","College","","","","","","","","","",62407,2,36
134,"MILA.KODJO","",54,"F","M","Private Sector","High School","","","","","","","","","",29057,3,12
26,"BOB.BODZ","",25,"M","U","Doctor","College","","","","","","","","","",44762,2,12
1134,"MICHAEL.MONK@EMAIL3.COM","",54,"F","M","Private Sector","High School","","","","","","","","","",32563,3,12
14,"4299604","",24,"F","M","Accountant","College","","","","","","","","","",53172,2,36
432,"JOHNPITT@EMAIL1.COM","",37,"F","M","Nursing","Post College","","","","","","","","","",65609,2,12
813,"TERRI.READY@EMAIL1.COM","",37,"F","M","Self Employed","High School","","","","","","","","","",26487,2,24
999,"CHARLIECORTEZ@EMAIL1.COM","",39,"F","M","Private Sector","High School","","","","","","","","","",29801,2,24
266,"GREGORY.MONK","",41,"F","M","Self Employed","Post College","","","","","","","","","",95824,2,48
531,"ROSS.BIRD@EMAIL1.COM","",42,"M","M","Pharmacist","College","","","","","","","","","",53719,2,48
737,"GREG.MOSS@EMAIL3.COM","",45,"F","M","Financial analyst","College","","","","","","","","","",58392,2,36
536,"ROSS.MOSS@EMAIL1.COM","",47,"F","M","Engineer","College","","","","","","","","","",47938,2,12
642,"KEITHREADY@EMAIL1.COM","",48,"M","M","Nursing","College","","","","","","","","","",76781,2,48
212,"MILA.DENNER","",51,"F","M","Doctor","College","","","","","","","","","",60626,2,36
1212,"BRANDON.BARNFIELD@EMAIL2.COM","",51,"F","M","Not employed","College","","","","","","","","","",60724,2,36
241,"BILLY.LARTER","",52,"F","M","Private Sector","High School","","","","","","","","","",49687,2,0
486,"GREG.DERN@EMAIL2.COM","",52,"F","M","Scientist","College","","","","","","","","","",81016,2,24
752,"HELENA.ALBA@EMAIL2.COM","",52,"M","M","Doctor","College","","","","","","","","","",87898,2,0
991,"BRANDON.READY@EMAIL2.COM","",52,"M","M","Financial analyst","College","","","","","","","","","",61648,2,0
155,"ADRIAN.WEBB","",53,"F","M","Nursing","College","","","","","","","","","",81644,2,36
350,"TREVOR.CORTEZ","",53,"F","M","Private Sector","High School","","","","","","","","","",47586,2,48
895,"GREG.JACKSON@EMAIL2.COM","",53,"F","M","Self Employed","College","","","","","","","","","",76223,2,24
1155,"BRANDON.HILLORY@EMAIL2.COM","",53,"F","M","Engineer","College","","","","","","","","","",67637,2,36
15,"6509257","",64,"F","M","Professor","College","","","","","","","","","",95593,2,12
1015,"GEORGE.CORTEZ@EMAIL1.COM","",64,"F","M","Engineer","College","","","","","","","","","",69375,2,12
22,"11077915","",67,"F","M","Scientist","Post College","","","","","","","","","",96476,2,36
532,"ROSS.BIRD@EMAIL2.COM","",24,"M","M","Nursing","College","","","","","","","","","",15997,2,24
807,"STEVEN.BIRD@EMAIL2.COM","",54,"F","M","Engineer","College","","","","","","","","","",85527,2,48
1176,"KEITH.JACKSON@EMAIL3.COM","",54,"F","M","Nursing","College","","","","","","","","","",61793,2,48
502,"JOHN.BIRD@EMAIL1.COM","",55,"M","M","Professor","College","","","","","","","","","",66252,2,36
342,"MICHAEL.BAUER","",56,"F","M","Engineer","College","","","","","","","","","",63532,2,36
810,"STUART.DERN@EMAIL1.COM","",56,"M","M","Pharmacist","College","","","","","","","","","",77085,2,24
725,"GEORGE.MOSS@EMAIL2.COM","",58,"M","M","Financial analyst","College","","","","","","","","","",80334,2,48
499,"JACOBMOSS@EMAIL1.COM","",59,"F","M","Doctor","College","","","","","","","","","",86735,2,12
786,"MICHAELTOWB@EMAIL1.COM","",59,"F","M","Doctor","Post College","","","","","","","","","",80242,2,48
817,"TREVOR.BODZ@EMAIL2.COM","",59,"M","M","Financial analyst","College","","","","","","","","","",59847,2,36
818,"TREVOR.MONK@EMAIL2.COM","",59,"M","M","Professor","College","","","","","","","","","",91797,2,36
585,"CHRIS.PITT@EMAIL1.COM","",67,"F","M","Scientist","Post College","","","","","","","","","",110834,2,0
420,"BOB.WEBB@EMAIL2.COM","",35,"F","M","Financial analyst","College","","","","","","","","","",47324,3,24
421,"BOBBRINK@EMAIL1.COM","",35,"F","M","Engineer","Post College","","","","","","","","","",59275,3,24
641,"KEITHHOUSE@EMAIL1.COM","",35,"M","M","Engineer","Post College","","","","","","","","","",66567,3,36
165,"BRED.CORTEZ","",36,"F","M","Private Sector","High School","","","","","","","","","",19070,3,48
926,"JESSICA.BIRD@EMAIL1.COM","",36,"F","M","Engineer","College","","","","","","","","","",66991,3,24
1165,"GREGORY.BAUER@EMAIL3.COM","",36,"F","M","Unemployed","High School","","","","","","","","","",24081,3,48
401,"JESSICA.ANDERSON","",37,"M","M","Self Employed","College","","","","","","","","","",40297,3,24
236,"BILL.HOFFMAN","",38,"F","M","Doctor","College","","","","","","","","","",73608,3,48
176,"DANIEL.WEBB","",54,"F","M","Professor","College","","","","","","","","","",66338,2,48
491,"GREG.TOWB@EMAIL1.COM","",54,"F","M","Financial analyst","College","","","","","","","","","",60820,2,24
549,"ADRIANMOSS@EMAIL1.COM","",54,"F","M","Engineer","Post College","","","","","","","","","",88080,2,24
550,"ADRIANPITT@EMAIL1.COM","",54,"M","M","Not employed","College","","","","","","","","","",73715,2,36
684,"BILL.KLOVES@EMAIL1.COM","",39,"F","M","Doctor","College","","","","","","","","","",78929,3,36
685,"BILLY.BAUER@EMAIL1.COM","",39,"F","M","Private Sector","High School","","","","","","","","","",25844,3,36
18,"7981433","",40,"F","M","Doctor","College","","","","","","","","","",71141,3,0
462,"BOB.READY@EMAIL2.COM","",40,"F","M","Private Sector","High School","","","","","","","","","",36374,3,12
761,"JACOB.KODJO@EMAIL2.COM","",40,"F","M","Private Sector","High School","","","","","","","","","",24771,3,48
877,"CRAIG.CORTEZ@EMAIL2.COM","",40,"M","M","Self Employed","High School","","","","","","","","","",21941,3,24
904,"GREGORY.PITT@EMAIL2.COM","",40,"M","M","Not employed","College","","","","","","","","","",43205,3,36
1018,"GEORGE.PITT@EMAIL3.COM","",40,"F","M","Financial analyst","College","","","","","","","","","",77622,3,0
83,"BILLY.MONK","",41,"F","M","Private Sector","High School","","","","","","","","","",24798,3,24
783,"MICHAELBODZ@EMAIL1.COM","",41,"M","M","Private Sector","High School","","","","","","","","","",25212,3,0
932,"JOHN.READY@EMAIL3.COM","",41,"F","M","Doctor","College","","","","","","","","","",39599,3,36
1083,"ANASTASIA.WEBB@EMAIL1.COM","",41,"F","M","Private Sector","High School","","","","","","","","","",32096,3,24
19,"9144205","",43,"M","M","Self Employed","College","","","","","","","","","",64876,3,36
38,"BOB.HOUSE","",43,"F","M","Engineer","College","","","","","","","","","",61872,3,36
528,"RICH.BIRD@EMAIL2.COM","",43,"M","M","Accountant","College","","","","","","","","","",80796,3,12
529,"RICH.MOSS@EMAIL1.COM","",43,"M","M","Private Sector","High School","","","","","","","","","",41689,3,12
1019,"GEORGE.TOWB@EMAIL3.COM","",43,"M","M","Engineer","College","","","","","","","","","",49297,3,36
1038,"JACOB.HILLORY@EMAIL2.COM","",43,"F","M","Not employed","College","","","","","","","","","",82159,3,36
435,"ROSSBIRD@EMAIL1.COM","",44,"F","M","Engineer","Post College","","","","","","","","","",90589,3,24
352,"WILLIAM.BAUER","",38,"M","M","Nursing","Post College","","","","","","","","","",72504,3,36
902,"GREGORY.MOSS@EMAIL1.COM","",38,"F","M","Accountant","College","","","","","","","","","",49732,3,48
1236,"WILLIAM.BARNFIELD@EMAIL3.COM","",38,"F","M","Not employed","College","","","","","","","","","",44470,3,48
429,"JOHNBODZ@EMAIL1.COM","",39,"M","M","Engineer","College","","","","","","","","","",48638,3,48
1032,"HARVEY.BODZ@EMAIL3.COM","",45,"F","M","Engineer","College","","","","","","","","","",46937,3,12
369,"HARVEY.JACKSON","",46,"F","M","Private Sector","High School","","","","","","","","","",35123,3,24
487,"GREG.MONK@EMAIL2.COM","",46,"F","M","Unemployed","High School","","","","","","","","","",22984,3,0
638,"KEITH.WEBB@EMAIL2.COM","",46,"F","M","Doctor","College","","","","","","","","","",47069,3,24
4,"288205","",47,"M","M","Engineer","College","","","","","","","","","",75761,3,48
125,"KEITH.BIRD","",47,"F","M","Pharmacist","College","","","","","","","","","",86807,3,36
309,"WILLIAM.PITT","",47,"F","M","Not employed","Post College","","","","","","","","","",72272,3,0
650,"ROSS.BRINK@EMAIL1.COM","",47,"F","M","Doctor","College","","","","","","","","","",52850,3,36
728,"GEORGEBAUER@EMAIL1.COM","",47,"M","M","Accountant","College","","","","","","","","","",78327,3,24
1004,"CRAIG.BAUER@EMAIL3.COM","",47,"M","M","Professor","College","","","","","","","","","",57280,3,48
1125,"JESSICA.MONK@EMAIL3.COM","",47,"F","M","Scientist","College","","","","","","","","","",37001,3,36
77,"ROSS.WEBB","",48,"M","M","Engineer","Post College","","","","","","","","","",59972,3,24
1077,"ADRIAN.HOUSE@EMAIL3.COM","",48,"M","M","Financial analyst","Post College","","","","","","","","","",67108,3,24
